ci 0
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x10 128 134 120 122 134 116 134 128 134 120 130 120 132 134 120 126
0x20 126 116 134 120 116 122 140 142 116 126 120 118 114 132 134 124
0x30 126 132 138 116 132 138 136 130 116 118 140 122 122 132 122 112
0x40 118 128 126 140 140 118 132 130 124 122 136 130 114 120 126 128
0x50 126 120 130 136 132 126 144 118 132 138 140 134 130 128 114 116
0x60 124 118 128 118 130 116 134 132 122 136 122 124 120 134 136 138
0x70 124 126 116 138 114 124 130 128 114 128 118 128 120 134 116 142
0x80 134 120 130 136 120 130 132 130 140 130 140 126 134 140 118 136
0x90 118 136 142 124 120 130 136 126 140 122 120 122 142 124 130 132
0xa0 132 134 132 130 134 136 134 132 114 120 126 136 132 130 144 130
0xb0 140 118 128 126 126 120 122 120 130 136 130 116 124 122 116 126
0xc0 140 122 116 118 118 132 126 112 130 132 126 124 116 126 128 134
0xd0 132 122 120 122 126 116 138 140 114 132 138 128 140 118 124 122
0xe0 138 128 134 120 116 130 128 122 136 130 128 126 114 140 138 136
0xf0 130 120 114 140 140 138 132 134 144 114 124 122 114 116 134 116
ci 44
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 128 130 114 120 116 114 126 118 130 116 128 134 134 124 140
0x10 138 122 140 124 134 130 120 116 136 140 134 122 132 140 130 138
0x20 142 126 116 116 142 130 124 128 120 124 130 134 136 136 138 122
0x30 136 120 118 134 124 144 138 126 138 134 140 120 134 126 136 128
0x40 124 132 126 126 116 128 126 130 126 138 140 128 118 126 124 124
0x50 130 114 132 140 118 122 136 132 140 120 138 126 120 144 134 118
0x60 138 138 120 128 138 134 128 132 144 140 114 134 120 136 130 122
0x70 128 136 118 134 124 128 130 142 142 122 120 124 122 122 132 140
0x80 130 134 124 144 130 130 140 140 124 132 114 122 140 120 114 126
0x90 132 120 134 122 120 120 130 114 126 126 140 124 122 142 128 132
0xa0 116 120 130 118 124 132 122 130 122 122 124 124 122 134 124 136
0xb0 134 122 116 136 130 122 120 128 124 132 126 118 120 140 130 134
0xc0 122 118 132 120 130 130 140 116 128 120 134 134 128 132 118 130
0xd0 128 132 130 126 116 140 126 126 118 142 116 116 138 126 144 140
0xe0 124 128 130 142 140 140 130 122 126 134 120 120 126 138 136 140
0xf0 114 142 136 140 126 118 140 124 132 140 126 126 120 132 122 126
ci 45
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 112 126 134 126 134 120 136 118 130 124 128 116 136 118 130
0x10 138 122 116 124 132 124 138 138 124 128 134 130 134 130 140 128
0x20 134 122 120 116 140 136 130 134 132 124 126 126 122 122 120 112
0x30 140 128 122 118 142 138 128 132 126 126 124 132 128 136 130 130
0x40 140 120 130 134 122 126 132 128 134 126 116 116 124 124 142 134
0x50 134 138 128 140 128 140 142 130 124 132 134 134 126 126 140 116
0x60 122 130 132 132 120 136 142 134 132 128 134 138 138 142 136 116
0x70 120 136 134 126 130 122 124 140 118 130 132 136 136 124 114 126
0x80 142 118 140 116 140 116 118 126 136 132 126 138 118 130 120 132
0x90 132 132 126 126 126 126 116 116 114 126 140 136 140 136 130 126
0xa0 128 116 130 134 134 122 140 128 130 114 140 124 136 120 118 134
0xb0 122 134 120 116 140 136 126 122 136 120 134 118 138 138 124 124
0xc0 142 130 132 120 116 136 126 130 124 132 122 130 122 114 124 116
0xd0 116 120 126 114 134 138 116 120 134 118 128 128 112 144 126 142
0xe0 136 128 130 122 142 134 132 124 134 122 120 140 132 120 130 134
0xf0 138 130 136 144 140 116 118 142 132 128 114 126 126 138 136 116
ci 46
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 126 122 120 126 116 136 134 128 134 114 136 126 116 120 134
0x10 116 126 138 132 134 136 116 126 132 126 122 132 126 120 132 134
0x20 138 116 120 114 128 138 126 128 134 120 116 118 132 126 138 124
0x30 138 128 140 114 132 122 126 124 118 124 128 134 128 126 138 128
0x40 140 138 126 124 130 136 140 122 112 134 122 112 126 116 120 118
0x50 116 134 122 124 134 128 140 142 120 122 126 128 122 140 120 130
0x60 118 136 140 142 124 126 138 132 126 136 116 126 132 134 122 132
0x70 130 120 116 122 116 122 134 116 122 128 116 138 132 114 134 124
0x80 128 126 138 136 114 128 132 122 120 118 130 144 114 136 140 122
0x90 140 118 130 140 138 116 128 130 116 134 114 132 130 140 136 138
0xa0 130 140 120 130 124 126 122 132 126 120 140 134 120 130 134 120
0xb0 130 136 140 130 120 134 130 120 126 124 136 134 124 138 126 132
0xc0 112 126 114 112 122 120 140 130 140 122 126 124 118 124 128 126
0xd0 120 138 126 128 134 120 116 142 116 126 114 124 122 124 136 130
0xe0 138 140 136 122 116 142 130 116 130 116 136 122 132 134 114 124
0xf0 126 132 120 126 124 138 126 132 118 132 128 142 132 130 142 132
ci 47
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 134 118 132 128 122 122 116 120 118 130 136 120 122 126 128
0x10 128 114 126 120 140 130 142 116 132 134 118 144 128 134 126 132
0x20 114 120 140 138 130 140 120 130 130 128 128 134 114 132 132 134
0x30 130 116 132 126 126 132 124 130 134 136 140 118 130 120 140 130
0x40 116 126 122 116 140 130 134 116 136 114 130 124 120 126 126 124
0x50 116 114 130 112 120 114 138 140 132 122 118 140 128 114 126 136
0x60 126 128 128 130 118 132 132 138 122 140 128 130 138 120 116 138
0x70 126 132 136 126 114 116 120 114 126 140 124 122 122 132 124 126
0x80 120 114 126 136 140 122 134 124 144 122 130 140 116 130 130 136
0x90 140 122 130 144 132 118 142 136 128 118 130 120 136 130 118 120
0xa0 114 116 132 118 134 124 132 114 130 116 128 130 134 124 120 134
0xb0 134 124 120 126 126 120 124 126 138 136 136 134 130 132 132 126
0xc0 112 126 134 124 124 134 134 128 116 122 118 116 136 122 134 120
0xd0 132 126 122 140 132 138 126 116 116 126 134 136 140 130 122 128
0xe0 122 136 116 138 134 128 140 134 118 140 124 122 138 124 132 118
0xf0 142 120 120 138 126 132 132 122 142 120 116 118 134 140 128 134
ci 48
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 122 116 138 120 130 116 130 130 132 118 132 122 124 134 124
0x10 134 112 142 140 126 112 134 132 124 118 132 130 132 134 124 122
0x20 122 132 138 112 130 140 130 112 132 142 124 130 124 118 132 130
0x30 124 134 144 142 124 126 120 134 130 132 142 132 130 124 118 124
0x40 136 114 136 134 140 126 140 122 114 140 122 136 134 136 142 140
0x50 130 116 134 116 118 120 130 120 128 122 140 130 132 126 120 134
0x60 138 132 126 140 126 128 122 120 116 118 120 126 120 130 116 138
0x70 128 130 136 134 124 142 116 122 118 136 126 124 130 116 138 128
0x80 136 122 140 138 124 126 136 126 118 120 138 120 130 132 126 116
0x90 126 120 134 116 114 132 122 120 128 130 136 126 140 134 116 122
0xa0 130 140 122 128 142 120 134 116 136 138 136 118 140 126 124 130
0xb0 116 134 128 118 136 130 140 130 134 120 122 128 114 140 142 116
0xc0 124 118 132 130 124 142 132 130 130 116 114 120 122 132 122 128
0xd0 134 128 130 120 118 128 122 120 128 122 116 122 120 114 132 130
0xe0 142 128 130 136 118 128 130 136 132 118 120 126 116 126 128 134
0xf0 116 118 140 122 116 134 140 130 134 128 126 132 126 120 118 116
ci 49
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 126 140 134 122 116 122 120 114 136 138 124 132 142 112 126
0x10 122 120 126 128 116 134 124 138 132 130 124 126 126 120 138 128
0x20 130 132 138 120 140 114 120 130 136 122 140 122 130 128 138 124
0x30 132 134 140 130 134 132 130 124 130 140 126 140 140 138 140 118
0x40 124 134 132 122 130 136 126 136 134 120 130 128 116 138 116 142
0x50 134 120 126 116 132 122 128 130 120 122 124 130 118 116 126 136
0x60 126 124 130 124 124 126 132 138 140 122 116 142 122 132 118 116
0x70 136 126 116 126 134 136 134 116 126 124 118 120 116 134 128 142
0x80 132 126 120 118 114 128 130 124 138 116 122 136 128 134 124 142
0x90 130 140 118 124 128 118 112 122 144 130 120 134 126 116 130 140
0xa0 134 132 126 128 140 118 128 134 120 126 140 134 126 136 126 116
0xb0 116 130 116 126 114 132 142 132 126 124 130 140 116 126 116 114
0xc0 140 122 132 134 134 120 138 136 122 120 118 136 124 118 132 138
0xd0 114 120 114 116 116 134 128 118 120 134 132 142 122 124 130 136
0xe0 126 128 122 144 120 118 128 122 136 130 136 134 114 112 126 136
0xf0 124 134 120 126 118 132 126 128 142 120 134 124 128 134 116 126
ci 50
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 124 132 140 122 130 134 122 124 132 116 120 126 130 134 118
0x10 120 128 124 136 122 118 126 126 136 116 120 136 114 130 122 126
0x20 130 122 138 142 116 136 124 124 126 130 130 130 136 136 132 112
0x30 122 126 130 122 140 132 140 120 114 122 142 138 140 136 136 136
0x40 136 140 136 120 142 126 134 130 132 116 128 140 130 126 126 134
0x50 124 132 116 128 122 134 130 114 124 120 120 120 130 130 134 122
0x60 138 138 126 122 128 124 116 140 134 130 126 134 132 140 116 120
0x70 134 122 130 122 124 116 112 140 126 118 134 130 124 136 132 132
0x80 118 134 130 126 144 116 116 116 130 134 138 122 124 132 132 120
0x90 126 130 114 122 120 120 140 128 134 134 142 130 128 140 128 128
0xa0 140 128 124 124 134 126 134 122 136 128 140 112 130 126 142 118
0xb0 124 116 116 128 142 130 126 118 124 128 128 136 126 126 130 134
0xc0 122 122 138 134 136 124 128 128 134 138 138 138 116 140 136 124
0xd0 142 138 142 126 124 132 140 120 118 142 114 142 116 120 120 128
0xe0 136 140 140 124 126 134 114 118 116 124 132 120 138 134 130 138
0xf0 140 140 112 132 138 118 134 118 140 136 132 132 138 130 130 126
ci 51
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 128 132 128 128 136 120 124 124 120 128 120 132 128 116 124
0x10 128 124 136 136 120 116 116 116 124 140 132 136 116 124 136 116
0x20 130 114 122 134 130 130 142 122 130 142 122 130 130 118 134 118
0x30 134 114 122 122 118 122 126 134 134 134 122 126 142 126 142 130
0x40 140 144 124 132 136 140 132 124 120 128 144 140 140 124 136 140
0x50 124 132 128 116 136 120 136 116 136 140 116 132 116 136 116 116
0x60 134 138 114 138 114 142 122 138 126 134 114 126 122 130 130 126
0x70 138 130 130 134 126 134 130 118 130 118 130 130 142 122 114 122
0x80 126 118 122 134 126 126 134 138 122 134 126 126 130 126 138 122
0x90 122 126 138 138 138 126 134 134 126 126 118 130 126 118 122 126
0xa0 140 132 124 136 116 140 144 124 116 128 124 124 124 144 136 128
0xb0 124 128 120 136 140 136 116 124 140 140 128 124 132 132 124 136
0xc0 142 130 126 126 130 118 134 134 122 138 122 134 118 126 130 118
0xd0 130 122 118 130 142 126 134 138 134 130 138 122 114 126 114 130
0xe0 124 128 136 136 136 116 120 144 140 140 120 132 120 120 128 140
0xf0 132 124 140 120 128 136 124 136 140 136 116 132 128 132 116 140
ci 52
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 130 138 140 126 116 132 122 124 114 118 132 138 124 136 130
0x10 134 124 136 142 128 130 126 128 130 116 116 142 132 122 122 120
0x20 142 120 132 118 124 130 142 140 114 136 136 126 136 130 114 140
0x30 136 126 126 140 122 116 140 126 132 126 122 132 134 124 144 134
0x40 130 116 124 126 124 122 122 136 138 128 140 122 140 118 122 140
0x50 140 138 126 124 130 116 136 138 124 134 134 120 114 136 120 118
0x60 120 130 126 128 114 128 124 114 128 134 126 132 122 140 116 134
0x70 126 124 116 122 124 118 134 136 118 136 116 118 124 130 134 140
0x80 142 112 128 122 136 126 118 132 126 132 120 126 136 138 134 120
0x90 128 126 130 120 126 120 124 126 120 130 130 140 126 124 140 138
0xa0 116 134 122 124 134 132 120 118 140 122 122 128 118 120 136 130
0xb0 130 120 128 134 128 122 138 116 122 132 128 130 120 126 130 112
0xc0 136 130 114 132 118 140 116 130 124 138 134 132 130 116 136 122
0xd0 142 140 136 126 128 114 126 120 130 124 140 118 132 138 122 112
0xe0 118 112 116 126 124 122 126 124 122 128 120 134 128 114 122 116
0xf0 128 118 134 140 114 116 140 126 140 134 130 132 134 132 136 126
ci 53
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 130 130 116 120 122 138 124 144 126 118 140 120 118 134 124
0x10 122 136 128 142 134 124 132 138 118 136 120 130 114 140 116 134
0x20 118 140 132 130 134 124 124 122 130 124 140 134 130 124 140 118
0x30 128 122 130 116 140 126 126 120 120 126 142 132 116 130 130 128
0x40 118 132 136 126 130 128 132 122 130 132 128 130 134 136 140 142
0x50 136 138 134 128 128 138 118 120 136 134 138 120 120 126 122 128
0x60 140 126 114 132 120 122 134 120 116 130 126 132 120 118 130 120
0x70 126 140 128 126 142 116 128 118 122 124 120 130 130 140 120 122
0x80 130 128 124 138 142 132 128 134 142 120 116 134 130 132 120 114
0x90 132 126 130 140 140 134 122 116 116 114 118 124 116 130 142 132
0xa0 112 114 142 136 140 134 138 124 112 134 130 136 116 114 126 124
0xb0 130 120 116 130 130 136 140 122 134 120 132 134 126 128 124 142
0xc0 136 122 122 132 112 122 122 140 136 126 126 132 112 126 118 116
0xd0 122 128 136 134 118 140 116 130 118 136 128 130 130 116 132 118
0xe0 118 124 116 122 118 116 116 130 122 124 132 126 122 132 124 126
0xf0 120 122 130 132 132 134 134 136 120 142 134 116 116 138 130 128
ci 54
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 136 134 118 136 120 130 114 126 118 112 120 118 126 124 140
0x10 136 128 122 138 124 132 130 122 134 134 124 140 130 122 124 124
0x20 134 130 136 116 126 122 132 120 140 120 122 142 124 128 126 114
0x30 142 130 132 136 122 118 116 136 124 120 134 122 120 116 134 130
0x40 134 142 116 140 138 122 124 116 136 136 138 130 116 132 138 138
0x50 130 130 116 132 130 130 120 128 140 124 138 130 140 132 142 134
0x60 116 112 134 138 128 124 118 130 142 114 116 120 122 118 132 136
0x70 128 140 126 130 128 132 130 134 122 134 116 128 114 142 128 132
0x80 132 136 122 126 132 136 142 122 138 142 124 120 138 118 128 140
0x90 128 140 130 126 140 128 114 126 118 122 124 120 138 126 116 136
0xa0 142 126 128 120 134 126 124 116 140 124 138 138 124 140 126 118
0xb0 138 122 144 136 134 134 128 128 112 120 122 130 140 124 122 130
0xc0 114 126 136 124 126 138 136 132 132 136 126 130 120 132 134 122
0xd0 130 126 140 112 122 142 136 140 140 120 130 126 116 128 126 130
0xe0 140 132 134 126 120 120 134 126 134 134 116 124 130 130 116 116
0xf0 140 124 130 130 140 124 134 126 134 118 136 128 126 134 132 140
ci 55
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 128 118 126 126 130 124 128 114 122 136 128 136 132 118 122
0x10 136 128 118 134 122 126 136 124 126 134 124 116 136 140 118 130
0x20 134 118 136 136 116 120 134 114 140 132 134 134 130 126 124 120
0x30 130 130 140 124 140 136 126 130 124 140 126 134 126 122 120 132
0x40 130 142 128 116 116 140 130 138 136 124 126 114 122 138 128 120
0x50 122 118 128 132 136 136 134 118 140 136 138 118 122 138 144 120
0x60 120 116 130 126 122 130 140 124 122 126 116 128 124 124 126 142
0x70 140 128 126 130 114 138 116 132 138 126 124 120 128 136 130 122
0x80 116 124 130 114 138 134 136 116 126 142 140 140 132 136 130 126
0x90 132 116 130 138 126 122 132 128 130 130 128 144 140 120 114 118
0xa0 134 142 128 120 132 144 118 122 124 124 126 134 122 126 116 136
0xb0 130 138 124 116 124 128 134 130 140 116 126 126 118 122 120 124
0xc0 126 122 124 128 120 144 142 134 132 136 138 142 134 134 116 140
0xd0 134 130 132 136 124 124 122 122 136 132 126 138 134 134 140 116
0xe0 120 116 130 126 122 114 116 132 114 134 140 136 124 140 118 134
0xf0 132 136 142 130 122 130 124 140 122 142 116 144 136 128 138 130
ci 56
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 124 134 126 116 128 126 126 122 114 128 116 126 134 112 124
0x10 134 134 128 124 122 122 120 140 136 140 114 130 140 128 130 138
0x20 140 128 114 130 116 136 118 142 130 130 136 132 130 130 140 128
0x30 118 126 136 124 134 126 132 112 132 144 118 126 124 136 130 130
0x40 130 126 140 132 118 122 116 124 120 128 114 134 124 124 130 134
0x50 116 116 138 134 136 128 130 126 130 134 120 120 134 130 120 136
0x60 126 114 120 120 126 122 116 116 120 136 114 126 128 136 142 122
0x70 116 124 130 134 124 124 134 122 118 130 132 140 118 122 120 128
0x80 124 136 134 134 136 132 118 126 122 114 132 128 126 134 132 120
0x90 114 138 120 116 134 126 112 132 120 132 142 126 132 128 118 126
0xa0 124 144 142 118 124 128 122 122 134 134 136 140 118 134 124 136
0xb0 134 134 140 128 118 118 120 116 136 140 126 118 120 140 130 130
0xc0 118 122 140 132 122 118 116 140 136 120 126 130 116 140 118 122
0xd0 128 128 122 126 124 132 138 126 122 126 132 124 126 138 132 124
0xe0 142 122 124 140 142 130 120 136 116 140 130 126 132 116 118 114
0xf0 140 116 134 114 140 140 130 126 138 134 132 116 138 126 136 120
ci 57
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 128 122 118 122 134 116 116 126 130 116 116 136 112 134 114
0x10 122 134 124 116 124 132 118 130 140 116 130 134 118 130 124 140
0x20 140 136 142 118 130 114 132 120 122 138 128 124 128 140 126 126
0x30 134 142 128 116 124 136 126 142 128 132 134 134 126 126 116 120
0x40 138 126 128 136 132 116 130 126 124 124 126 114 118 122 120 120
0x50 140 124 138 126 134 130 132 124 130 118 116 124 116 140 142 130
0x60 134 118 124 128 140 128 122 122 136 132 130 114 126 118 120 140
0x70 144 124 126 126 126 126 140 120 126 126 136 140 116 112 118 126
0x80 144 124 118 126 138 122 136 140 138 122 140 120 116 112 134 134
0x90 126 134 124 128 136 116 134 134 124 128 142 126 126 126 120 140
0xa0 136 136 126 138 126 138 124 140 122 142 132 132 128 120 122 134
0xb0 126 122 124 116 124 132 122 118 140 132 134 138 130 142 116 116
0xc0 130 122 124 136 132 128 126 134 120 124 126 118 138 138 120 116
0xd0 136 124 122 130 130 122 124 128 130 122 136 132 116 120 122 138
0xe0 114 126 116 116 128 120 130 134 128 120 118 130 142 122 124 132
0xf0 120 128 130 142 134 122 136 120 114 142 136 120 136 136 126 122
ci 58
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 134 122 124 118 112 116 138 128 118 134 120 126 120 136 126
0x10 124 130 118 120 122 132 136 126 116 130 130 140 122 124 140 122
0x20 140 142 142 140 126 132 140 126 112 122 126 116 130 144 124 134
0x30 128 130 138 136 130 136 120 122 124 126 122 136 126 132 120 138
0x40 134 124 140 134 132 126 118 132 122 136 140 126 128 114 126 132
0x50 134 140 140 134 124 118 126 140 130 136 140 134 128 122 118 132
0x60 138 140 128 134 132 122 142 136 130 132 116 138 124 130 130 124
0x70 122 140 120 126 132 138 118 128 122 116 140 138 132 130 122 140
0x80 114 124 136 134 116 122 142 120 114 124 140 122 132 122 130 140
0x90 126 128 116 138 136 134 130 116 142 136 128 126 120 126 126 136
0xa0 118 124 116 126 132 134 142 116 122 136 140 126 128 138 126 140
0xb0 130 144 136 122 112 138 114 128 134 116 120 138 124 118 122 136
0xc0 120 138 130 128 130 128 136 114 116 142 114 136 126 132 120 122
0xd0 128 122 138 128 130 136 136 122 124 134 130 120 142 132 128 114
0xe0 132 130 126 120 138 116 136 126 116 114 130 124 130 124 116 122
0xf0 132 122 134 136 138 124 128 126 132 130 130 140 130 140 132 122
ci 59
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 114 118 116 128 130 134 116 116 142 130 136 132 118 130 128
0x10 116 126 126 132 116 142 134 140 132 126 118 140 140 126 134 132
0x20 132 134 138 120 128 122 134 140 136 138 126 124 132 134 138 136
0x30 132 126 126 116 120 122 122 136 140 142 134 116 136 122 122 136
0x40 134 140 128 130 142 124 120 130 118 132 136 130 126 140 128 122
0x50 130 128 136 130 114 120 144 130 126 140 140 134 134 116 140 118
0x60 130 136 140 142 142 116 120 122 138 112 116 118 134 132 128 122
0x70 122 120 128 122 134 116 132 126 134 140 124 126 138 120 136 130
0x80 114 132 132 130 126 128 120 118 134 128 136 142 114 116 124 122
0x90 130 124 128 118 126 136 124 130 138 116 120 126 126 112 140 122
0xa0 126 120 144 134 118 136 128 126 138 132 116 122 114 124 132 138
0xb0 122 124 120 134 138 116 136 126 114 124 136 142 122 132 128 134
0xc0 128 126 126 136 116 122 122 124 136 126 118 136 124 130 114 132
0xd0 120 126 138 124 132 114 134 128 132 138 134 136 136 126 122 140
0xe0 132 122 130 116 140 130 130 132 124 130 130 132 116 130 130 124
0xf0 136 134 138 132 144 126 130 140 140 130 118 136 140 122 118 128
ci 60
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 116 124 136 130 114 118 126 128 124 116 144 122 138 118 134
0x10 142 122 130 126 124 132 112 136 122 118 118 122 136 136 116 124
0x20 116 136 136 140 130 122 126 134 128 140 116 136 118 126 130 114
0x30 142 130 122 134 128 136 140 140 118 122 114 118 120 120 132 132
0x40 132 144 128 124 126 126 130 130 124 136 144 132 134 126 114 130
0x50 142 130 122 134 116 124 128 112 122 118 126 122 136 128 124 132
0x60 128 140 124 128 126 118 130 130 124 120 136 132 122 122 126 142
0x70 126 122 138 118 128 120 124 116 126 130 122 134 120 128 116 116
0x80 134 130 134 122 120 128 128 128 138 134 122 134 116 116 124 140
0x90 128 140 136 116 142 134 134 126 136 140 128 140 134 126 126 126
0xa0 134 130 134 114 132 116 140 140 118 130 126 130 140 132 140 124
0xb0 116 120 124 136 118 126 126 142 136 132 120 116 122 130 122 130
0xc0 126 138 118 130 120 120 136 120 138 126 114 142 132 132 116 140
0xd0 124 136 132 136 130 130 122 130 116 128 124 120 130 138 138 114
0xe0 126 138 126 114 140 132 116 132 126 130 118 122 140 116 124 116
0xf0 120 124 136 124 122 122 122 122 132 136 124 120 142 118 134 118
ci 61
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 116 120 116 128 124 132 136 136 132 124 120 120 140 136 124
0x10 138 134 134 130 134 122 126 114 130 142 130 118 126 130 122 134
0x20 116 116 140 124 128 136 140 116 132 124 136 120 136 136 128 136
0x30 118 134 122 130 134 126 126 126 126 126 118 134 134 126 130 122
0x40 140 140 124 132 140 116 128 112 132 140 128 136 140 140 124 124
0x50 118 126 138 130 122 122 130 114 118 126 126 126 130 130 126 118
0x60 120 116 120 116 132 136 128 116 120 124 132 144 116 128 124 128
0x70 122 134 118 122 130 118 122 118 122 118 138 118 130 118 126 114
0x80 122 122 134 134 130 114 130 114 142 126 126 134 126 126 114 138
0x90 140 132 132 132 144 120 124 140 120 120 140 124 116 116 124 140
0xa0 130 134 118 130 134 138 134 130 134 122 126 130 122 126 126 130
0xb0 124 128 132 136 116 136 120 124 112 140 116 136 120 132 136 124
0xc0 130 118 126 130 122 142 114 118 134 138 134 114 142 114 122 134
0xd0 116 128 124 112 128 140 132 120 136 140 140 128 132 120 132 136
0xe0 122 130 142 126 142 134 134 118 126 134 134 126 138 114 118 126
0xf0 132 140 124 116 116 124 128 136 128 128 132 140 120 120 128 120
ci 62
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 122 132 126 132 134 120 130 118 132 134 140 114 112 122 136
0x10 140 122 124 130 140 130 132 138 142 136 114 124 126 136 130 132
0x20 124 122 120 142 124 122 136 134 126 136 126 120 134 136 126 136
0x30 128 138 136 130 116 126 116 134 126 140 130 120 130 136 118 140
0x40 116 126 136 130 136 138 132 142 138 120 138 128 142 124 142 140
0x50 124 138 140 130 140 114 124 114 118 128 122 132 126 136 138 140
0x60 120 134 116 138 120 118 124 122 122 116 138 132 138 140 122 132
0x70 120 130 128 138 124 118 116 118 142 124 130 136 122 112 134 140
0x80 140 130 140 114 124 130 140 122 130 132 126 120 122 116 126 120
0x90 140 126 112 138 128 114 124 126 126 132 134 124 114 128 122 144
0xa0 128 122 136 122 124 126 116 134 130 128 142 140 134 132 122 128
0xb0 136 134 116 130 128 118 116 130 118 128 126 128 126 120 118 128
0xc0 140 122 116 130 116 130 132 122 130 140 134 120 122 140 142 128
0xd0 128 138 124 126 140 134 120 130 122 136 122 136 126 132 134 116
0xe0 136 122 136 130 124 134 132 126 138 128 126 132 126 132 130 144
0xf0 132 122 136 126 132 130 136 126 122 124 138 116 114 116 122 140
ci 63
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 138 136 114 126 124 122 128 126 140 134 124 116 118 120 122
0x10 132 114 132 138 126 128 130 116 122 132 122 132 140 138 120 126
0x20 132 126 140 126 134 132 122 136 130 120 122 112 132 126 128 130
0x30 132 138 140 130 138 116 126 128 130 124 138 124 136 134 116 130
0x40 124 138 140 130 130 140 134 128 130 140 130 140 120 126 132 130
0x50 120 138 136 122 130 144 134 140 126 116 142 124 136 122 132 118
0x60 136 118 128 142 122 132 126 128 134 136 142 136 128 126 124 122
0x70 136 130 136 122 134 124 130 120 126 116 142 116 116 134 136 130
0x80 140 134 120 122 134 116 126 140 122 128 134 124 132 142 116 118
0x90 136 118 140 122 134 136 134 144 126 128 130 140 124 130 116 122
0xa0 120 138 132 134 118 124 134 132 126 132 138 136 116 126 140 134
0xb0 136 118 116 138 114 116 130 132 126 136 122 116 112 126 120 126
0xc0 116 138 144 118 142 128 134 128 122 132 118 136 140 130 140 114
0xd0 120 114 132 134 126 116 134 140 126 132 122 128 124 142 124 134
0xe0 120 118 124 114 126 136 118 128 142 136 130 140 132 122 132 130
0xf0 136 114 132 126 130 120 130 128 118 116 130 136 128 122 136 114
ci 64
     0x0 0x1 0x2 0x3 0x4 0x5 0x6 0x7 0x8 0x9 0xa 0xb 0xc 0xd 0xe 0xf
0x00 128 132 124 132 116 136 116 116 144 124 120 136 120 140 132 116
0x10 134 130 130 138 126 130 118 126 126 138 134 126 122 134 126 126
0x20 120 128 144 132 128 120 140 136 124 116 120 124 120 120 120 140
0x30 126 134 134 114 138 138 142 122 130 130 126 130 130 114 138 118
0x40 116 128 128 128 140 136 132 124 140 128 124 116 120 116 132 124
0x50 130 126 126 118 126 114 126 134 114 126 130 122 130 126 134 118
0x60 136 128 136 124 140 132 120 132 140 116 136 124 132 132 140 128
